product_id,product_name,category,price
1000,Smartphone Max,Electronics,950
1001,Smartphone Max,Electronics,1190
1002,Smartphone Pro,Electronics,6084
1003,Laptop Pro,Electronics,29987
1004,Laptop Lite,Electronics,20660
1005,Laptop Lite,Electronics,18817
1006,Tablet Pro,Electronics,4077
1007,Tablet Plus,Electronics,8690
1008,Tablet Plus,Electronics,76337
1009,Smartwatch Max,Electronics,10688
1010,Smartwatch Lite,Electronics,19587
1011,Smartwatch Plus,Electronics,50514
1012,Bluetooth Speaker Pro,Electronics,38524
1013,Bluetooth Speaker Max,Electronics,7768
1014,Bluetooth Speaker Max,Electronics,1424
1015,Wireless Earbuds Max,Electronics,74583
1016,Wireless Earbuds Max,Electronics,63639
1017,Wireless Earbuds Pro,Electronics,19605
1018,Gaming Console Plus,Electronics,38129
1019,Gaming Console Plus,Electronics,12013
1020,Gaming Console Max,Electronics,67975
1021,Monitor Max,Electronics,68275
1022,Monitor Pro,Electronics,29936
1023,Monitor Pro,Electronics,970
1024,Keyboard Max,Electronics,45696
1025,Keyboard Pro,Electronics,47000
1026,Keyboard Plus,Electronics,76399
1027,Mouse Pro,Electronics,76321
1028,Mouse Pro,Electronics,4137
1029,Mouse Max,Electronics,36732
1030,T-Shirt Plus,Fashion,32695
1031,T-Shirt Plus,Fashion,1168
1032,T-Shirt Pro,Fashion,43454
1033,Jeans Plus,Fashion,6491
1034,Jeans Lite,Fashion,45074
1035,Jeans Plus,Fashion,69013
1036,Jacket Plus,Fashion,47133
1037,Jacket Pro,Fashion,72224
1038,Jacket Max,Fashion,30260
1039,Sneakers Max,Fashion,32418
1040,Sneakers Plus,Fashion,43394
1041,Sneakers Plus,Fashion,47282
1042,Formal Shoes Max,Fashion,5594
1043,Formal Shoes Max,Fashion,10095
1044,Formal Shoes Max,Fashion,11765
1045,Kurta Max,Fashion,68706
1046,Kurta Max,Fashion,60610
1047,Kurta Pro,Fashion,65784
1048,Saree Max,Fashion,61891
1049,Saree Plus,Fashion,4635
1050,Saree Plus,Fashion,61575
1051,Handbag Pro,Fashion,76635
1052,Handbag Plus,Fashion,65942
1053,Handbag Plus,Fashion,14991
1054,Dress Plus,Fashion,72728
1055,Dress Pro,Fashion,75513
1056,Dress Max,Fashion,70474
1057,Hoodie Lite,Fashion,6840
1058,Hoodie Lite,Fashion,30584
1059,Hoodie Max,Fashion,38017
1060,Mixer Grinder Lite,Home Appliances,1047
1061,Mixer Grinder Lite,Home Appliances,62516
1062,Mixer Grinder Lite,Home Appliances,5323
1063,Air Fryer Max,Home Appliances,36729
1064,Air Fryer Plus,Home Appliances,24022
1065,Air Fryer Lite,Home Appliances,73644
1066,Vacuum Cleaner Pro,Home Appliances,42592
1067,Vacuum Cleaner Plus,Home Appliances,62561
1068,Vacuum Cleaner Lite,Home Appliances,9146
1069,Microwave Pro,Home Appliances,2928
1070,Microwave Plus,Home Appliances,55906
1071,Microwave Lite,Home Appliances,12858
