order_id,product_id,customer_id,date_id,quantity,price,revenue
1,1034,CUST19024,1,2,45074,90148
2,1132,CUST477,2,3,70510,211530
3,1006,CUST6570,3,1,4077,4077
4,1133,CUST6935,4,1,47319,47319
5,1081,CUST843,5,2,51517,103034
6,1030,CUST4001,6,2,32695,65390
7,1141,CUST19548,7,1,66502,66502
8,1023,CUST6727,8,3,970,2910
9,1000,CUST8190,9,2,950,1900
10,1121,CUST6962,10,3,52443,157329
11,1138,CUST3056,11,1,29097,29097
12,1073,CUST9145,12,1,19295,19295
13,1113,CUST18104,13,1,36507,36507
14,1166,CUST5360,14,2,16411,32822
15,1167,CUST23817,15,3,65000,195000
16,1150,CUST24578,16,1,20500,20500
17,1120,CUST17211,17,2,13411,26822
18,1049,CUST24501,18,1,4635,4635
19,1107,CUST10465,19,2,46956,93912
20,1154,CUST9673,20,3,49308,147924
21,1058,CUST10331,21,2,30584,61168
22,1165,CUST21357,22,3,7305,21915
23,1113,CUST22312,23,2,36507,73014
24,1064,CUST135,24,1,24022,24022
25,1010,CUST3768,25,2,19587,39174
26,1000,CUST20774,26,2,950,1900
27,1071,CUST15544,27,2,12858,25716
28,1089,CUST15169,28,1,27654,27654
29,1076,CUST21577,29,1,2136,2136
30,1050,CUST4098,30,1,61575,61575
31,1145,CUST24862,31,3,44025,132075
32,1053,CUST7108,32,3,14991,44973
33,1054,CUST16152,33,1,72728,72728
34,1082,CUST3627,34,2,65781,131562
35,1076,CUST11510,35,3,2136,6408
36,1040,CUST2868,36,3,43394,130182
37,1006,CUST10695,37,3,4077,12231
38,1143,CUST5290,38,1,69740,69740
39,1007,CUST19103,39,3,8690,26070
40,1161,CUST21904,40,2,6598,13196
41,1052,CUST466,41,1,65942,65942
42,1148,CUST22258,42,1,71763,71763
43,1123,CUST22427,43,2,5305,10610
44,1070,CUST6419,44,3,55906,167718
45,1072,CUST682,45,3,78762,236286
46,1090,CUST4254,46,3,52206,156618
47,1083,CUST16740,47,2,62000,124000
48,1072,CUST9236,48,3,78762,236286
49,1152,CUST22651,49,1,5227,5227
50,1136,CUST6428,50,3,11850,35550
51,1100,CUST6281,51,3,57669,173007
52,1132,CUST18595,52,1,70510,70510
53,1144,CUST17832,53,3,6893,20679
54,1117,CUST12623,54,2,47455,94910
55,1129,CUST5821,55,3,74527,223581
56,1113,CUST15158,56,1,36507,36507
57,1142,CUST12595,57,3,34964,104892
58,1026,CUST7358,58,3,76399,229197
59,1009,CUST20726,59,2,10688,21376
60,1085,CUST14567,60,3,30817,92451
61,1069,CUST8266,61,2,2928,5856
62,1165,CUST12086,62,3,7305,21915
63,1102,CUST11118,63,2,51807,103614
64,1023,CUST8703,64,2,970,1940
65,1166,CUST7086,65,2,16411,32822
66,1008,CUST9294,66,1,76337,76337
67,1019,CUST14594,67,3,12013,36039
68,1074,CUST12574,68,3,23519,70557
69,1056,CUST1230,69,2,70474,140948
70,1160,CUST1233,70,1,32372,32372
71,1022,CUST19874,71,2,29936,59872
72,1078,CUST18879,72,3,68521,205563
73,1007,CUST11633,73,1,8690,8690
74,1036,CUST21951,74,3,47133,141399
75,1097,CUST13595,75,2,43388,86776
76,1157,CUST5325,76,1,24640,24640
77,1158,CUST8888,77,3,76724,230172
78,1034,CUST11451,78,2,45074,90148
79,1111,CUST11036,79,1,33285,33285
80,1115,CUST15657,80,1,52236,52236
81,1129,CUST18623,81,2,74527,149054
82,1048,CUST9176,82,2,61891,123782
83,1107,CUST21898,83,3,46956,140868
84,1030,CUST2152,84,2,32695,65390
85,1097,CUST24742,85,1,43388,43388
86,1062,CUST4895,86,2,5323,10646
87,1018,CUST21918,87,3,38129,114387
88,1021,CUST20417,88,3,68275,204825
89,1133,CUST22264,89,3,47319,141957
90,1141,CUST16380,90,1,66502,66502
91,1123,CUST5694,91,2,5305,10610
92,1084,CUST5846,92,2,19013,38026
93,1055,CUST22578,93,3,75513,226539
94,1003,CUST2487,94,2,29987,59974
95,1069,CUST22751,95,3,2928,8784
96,1037,CUST7643,96,2,72224,144448
97,1137,CUST13293,97,3,2684,8052
98,1114,CUST5624,98,1,68099,68099
99,1024,CUST16988,99,2,45696,91392
100,1110,CUST12964,100,1,59782,59782
101,1066,CUST6691,101,2,42592,85184
102,1044,CUST6137,102,2,11765,23530
103,1084,CUST14077,103,3,19013,57039
104,1107,CUST17362,104,1,46956,46956
105,1096,CUST5361,105,1,12788,12788
106,1142,CUST21183,106,1,34964,34964
107,1155,CUST24523,107,3,48052,144156
108,1164,CUST11212,108,2,44817,89634
109,1118,CUST20235,109,3,6614,19842
110,1137,CUST1140,110,2,2684,5368
111,1030,CUST5685,111,2,32695,65390
112,1027,CUST22767,112,2,76321,152642
113,1103,CUST4396,113,2,4767,9534
114,1062,CUST20677,114,2,5323,10646
115,1044,CUST7553,115,1,11765,11765
116,1012,CUST18950,116,1,38524,38524
117,1099,CUST21128,117,3,35564,106692
118,1128,CUST11685,118,2,39033,78066
119,1033,CUST8182,119,1,6491,6491
120,1054,CUST14592,120,3,72728,218184
121,1107,CUST17093,121,2,46956,93912
122,1148,CUST8146,122,3,71763,215289
123,1040,CUST3017,123,1,43394,43394
124,1003,CUST11291,124,1,29987,29987
125,1093,CUST18657,125,2,21494,42988
126,1103,CUST7962,126,2,4767,9534
127,1058,CUST10523,127,2,30584,61168
128,1029,CUST10608,128,2,36732,73464
129,1133,CUST4009,129,2,47319,94638
130,1083,CUST4644,130,3,62000,186000
131,1071,CUST20144,131,1,12858,12858
132,1093,CUST1090,132,1,21494,21494
133,1149,CUST18696,133,3,8164,24492
134,1136,CUST2955,134,1,11850,11850
135,1071,CUST8628,135,3,12858,38574
136,1066,CUST20150,136,2,42592,85184
137,1034,CUST23524,137,1,45074,45074
138,1050,CUST849,138,3,61575,184725
139,1038,CUST20739,139,1,30260,30260
140,1043,CUST3321,140,3,10095,30285
141,1043,CUST19389,141,1,10095,10095
142,1108,CUST13360,142,2,77711,155422
143,1102,CUST10902,143,3,51807,155421
144,1018,CUST20305,144,2,38129,76258
145,1160,CUST5181,145,3,32372,97116
146,1078,CUST20968,146,1,68521,68521
147,1024,CUST15501,147,3,45696,137088
148,1013,CUST19526,148,2,7768,15536
149,1106,CUST790,149,2,62922,125844
150,1004,CUST6902,150,2,20660,41320
151,1014,CUST7049,151,2,1424,2848
152,1120,CUST18383,152,1,13411,13411
153,1032,CUST10030,153,3,43454,130362
154,1124,CUST724,154,3,67206,201618
155,1119,CUST6038,155,3,35479,106437
156,1105,CUST16998,156,3,10198,30594
157,1038,CUST10111,157,3,30260,90780
158,1040,CUST9546,158,1,43394,43394
159,1039,CUST16091,159,3,32418,97254
160,1117,CUST7681,160,2,47455,94910
161,1166,CUST8767,161,2,16411,32822
162,1140,CUST13678,162,2,4245,8490
163,1029,CUST11526,163,3,36732,110196
164,1066,CUST21862,164,1,42592,42592
165,1085,CUST19738,165,1,30817,30817
166,1149,CUST20926,166,2,8164,16328
167,1024,CUST16767,167,3,45696,137088
168,1162,CUST24984,168,3,13830,41490
169,1122,CUST15425,169,2,33261,66522
170,1094,CUST18445,170,3,55302,165906
171,1043,CUST17171,171,3,10095,30285
172,1011,CUST5432,172,2,50514,101028
173,1105,CUST13572,173,2,10198,20396
174,1094,CUST8513,174,1,55302,55302
175,1004,CUST17223,175,1,20660,20660
176,1067,CUST24522,176,1,62561,62561
177,1045,CUST13871,177,1,68706,68706
178,1156,CUST22776,178,2,65785,131570
179,1020,CUST17185,179,3,67975,203925
180,1042,CUST14007,180,2,5594,11188
181,1103,CUST10125,181,3,4767,14301
182,1075,CUST13564,182,3,38531,115593
183,1014,CUST723,183,3,1424,4272
184,1057,CUST15117,184,1,6840,6840
185,1110,CUST4498,185,3,59782,179346
186,1024,CUST13781,186,3,45696,137088
187,1142,CUST17435,187,1,34964,34964
188,1145,CUST4304,188,2,44025,88050
189,1138,CUST13592,189,1,29097,29097
190,1148,CUST21397,190,3,71763,215289
191,1088,CUST23030,191,1,11521,11521
192,1075,CUST18272,192,1,38531,38531
193,1107,CUST2274,193,3,46956,140868
194,1003,CUST3242,194,2,29987,59974
195,1125,CUST22349,195,3,54660,163980
196,1055,CUST1338,196,2,75513,151026
197,1000,CUST9477,197,2,950,1900
198,1130,CUST22172,198,1,41319,41319
199,1153,CUST17644,199,1,35567,35567
200,1110,CUST22760,200,2,59782,119564
201,1046,CUST17440,201,1,60610,60610
202,1141,CUST14161,202,3,66502,199506
203,1046,CUST2360,203,3,60610,181830
204,1047,CUST4170,204,3,65784,197352
205,1110,CUST10898,205,2,59782,119564
206,1112,CUST10359,206,1,56209,56209
207,1099,CUST16963,207,1,35564,35564
208,1033,CUST10025,208,3,6491,19473
209,1027,CUST9201,209,1,76321,76321
210,1143,CUST5609,210,2,69740,139480
211,1074,CUST15348,211,3,23519,70557
212,1136,CUST18096,212,2,11850,23700
213,1139,CUST22122,213,2,63288,126576
214,1107,CUST15147,214,3,46956,140868
215,1017,CUST16147,215,3,19605,58815
216,1018,CUST14292,216,2,38129,76258
217,1107,CUST11514,217,2,46956,93912
218,1138,CUST17700,218,2,29097,58194
219,1005,CUST18694,219,1,18817,18817
220,1101,CUST12754,220,2,24786,49572
221,1134,CUST13020,221,2,45496,90992
222,1117,CUST14177,222,1,47455,47455
223,1042,CUST3755,223,2,5594,11188
